"Test Suite","Test Case","Test Step","Step Type","Step Status","Result message","Execution Date"
"Library","Reporting_Utility","GenerateCSVReport","groovy","OK","","04-Jul-2024 10_10",
"CalculatorSoap TestSuite","Add TestCase","Add","request","OK","","04-Jul-2024 10_10",
"CalculatorSoap TestSuite","Divide TestCase","Divide","request","OK","","04-Jul-2024 10_10",
"CalculatorSoap TestSuite","Multiply TestCase","Multiply","request","OK","","04-Jul-2024 10_10",
"CalculatorSoap TestSuite","Subtract TestCase","Subtract","request","OK","","04-Jul-2024 10_10",
"CalculatorSoap TestSuite","Add TestCase","Add","request","OK","","04-Jul-2024 10_10",
"CalculatorSoap TestSuite","Divide TestCase","Divide","request","OK","","04-Jul-2024 10_10",
"CalculatorSoap TestSuite","Multiply TestCase","Multiply","request","OK","","04-Jul-2024 10_10",
"CalculatorSoap TestSuite","Subtract TestCase","Subtract","request","OK","","04-Jul-2024 10_10",
